Row Type,Action,Keyword status,Level,Campaign,Ad group,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,recruitment,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,tutor vacancy,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,pdf,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,youtube,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,tutorial,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,lyrics,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,chords,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,tabs,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,definition,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,meaning,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,download,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,book,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,used,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,second hand,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,olx,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,quikr,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,wikipedia,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,zoom classes,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,online course,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,online classes only,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,software,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,virtual class,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,sports,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,swimming,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,karate,Broad match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,music classes teacher near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,music classes in gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,music classes fees gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,best music classes academy delhi,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,music classes near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,music classes in gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,music classes fees gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,best music classes academy delhi,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,music classes near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,music classes teacher near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,music classes fees gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,best music classes academy delhi,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,music classes near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,music classes teacher near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,music classes in gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,best music classes academy delhi,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,music classes near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,music classes teacher near me,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,music classes in gtb nagar,Exact match
Negative keyword,Add,Enabled,Ad group,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,music classes fees gtb nagar,Exact match
