Row Type,Action,Campaign,Campaign status,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,EU political ads,Ad group,Ad group status,Default max. CPC,Keyword,Type,Keyword status,Ad type,Ad status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,acoustic guitar classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes for beginners near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,keyboard classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano classes in gtb nagar,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,keyboard lessons in north delhi,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano teacher near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,keyboard classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano classes in north delhi,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,keyboard classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,learn piano near delhi university,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,24.00,piano lessons for beginners near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,singing classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,vocal classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,singing classes in gtb nagar,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,classical singing classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,vocal coach near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,singing classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,vocal classes in north delhi,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,singing lessons near hudson lane,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,hindustani classical vocal classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,singing classes near delhi university,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,24.00,vocal training for beginners near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music academy near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music school near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music classes in gtb nagar,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music academy in north delhi,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music institute near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music academy in gtb nagar,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music school near delhi university,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,offline music classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music classes in hudson lane,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,24.00,music academy for adults near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,mumbai,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,bangalore,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,bengaluru,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,hyderabad,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,chennai,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,kolkata,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,pune,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,ahmedabad,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,jaipur,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,chandigarh,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,lucknow,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,surat,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,bhopal,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,patna,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,noida,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,gurgaon,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,gurugram,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,faridabad,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,ghaziabad,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,online,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,online course,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,online classes,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,zoom,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,youtube,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,tutorial,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,free,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,pdf,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,syllabus,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,notes,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,salary,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,job,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,vacancy,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,,,,hire,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Ad,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,,,,,Responsive search ad,Enabled,https://www.rhytthmraga.com/book?course=Guitar,GuitarClasses,GtbNagar,Guitar Classes in GTB Nagar,Offline Guitar Lessons,Learn Guitar Near Metro Gate 4,1-on-1 Certified Mentors,Acoustic & Electric Guitar,Book In-Person Studio Trial,Near Hudson Lane GTB Nagar,Small Batches (Max 4-5),Classes for Kids & Adults,Beginner to Advanced Guitar,Offline guitar classes at GTB Nagar near Metro Gate 4. 1-on-1 certified mentors.,Structured in-studio music lessons near Hudson Lane. Flexible morning & evening batches.,Premier physical music academy in North Delhi. Book your in-person studio trial today!,Small offline batches for kids & adults in GTB Nagar. Reserve your demo class now.
Ad,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,,,,,,Responsive search ad,Enabled,https://www.rhytthmraga.com/book?course=Piano,PianoClasses,GtbNagar,Piano Classes in GTB Nagar,Offline Keyboard Lessons,Learn Piano Near Metro Gate 4,1-on-1 Piano Mentors,Western & Classical Piano,Book In-Person Studio Trial,Near Hudson Lane GTB Nagar,Small Batches (Max 4-5),Piano for Kids & Adults,Beginner to Advanced Keys,Offline piano classes at GTB Nagar near Metro Gate 4. 1-on-1 certified mentors.,Master keyboard & Western classical sheet music near Hudson Lane. Flexible batches.,Premier physical music studio in North Delhi. Book your in-person studio trial today!,Small offline batches for kids & adults in GTB Nagar. Reserve your demo class now.
Ad,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,,,,,,Responsive search ad,Enabled,https://www.rhytthmraga.com/book?course=Vocals,SingingClasses,GtbNagar,Singing Classes in GTB Nagar,Offline Vocal Training,Voice Training Near Metro Gate 4,Hindustani Classical & Western,1-on-1 Certified Vocal Coach,Book In-Person Vocal Trial,Near Hudson Lane GTB Nagar,Voice Culture & Pitch Control,Singing for Kids & Adults,Beginner to Advanced Vocals,Offline singing classes at GTB Nagar near Metro Gate 4. 1-on-1 certified voice coach.,Structured Hindustani classical & Western vocal training near Hudson Lane. Book demo.,Premier physical music academy in North Delhi. Book your in-person studio trial today!,Small offline batches for kids & adults in GTB Nagar. Reserve your demo class now.
Ad,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,,,,,,Responsive search ad,Enabled,https://www.rhytthmraga.com/book,MusicClasses,GtbNagar,Music Classes in GTB Nagar,Offline Music Academy Delhi,Near GTB Nagar Metro Gate 4,Guitar Piano Drums Vocals,1-on-1 Certified Mentors,Book In-Person Studio Trial,Near Hudson Lane GTB Nagar,Small Batches (Max 4-5),Classes for Kids & Adults,Learn Music From Scratch,Offline music classes at GTB Nagar near Metro Gate 4. 1-on-1 certified mentors.,Structured in-studio music lessons near Hudson Lane. Flexible morning & evening batches.,Premier physical music academy in North Delhi. Book your in-person studio trial today!,Small offline batches for kids & adults in GTB Nagar. Reserve your demo class now.
