Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Default max. CPC
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,vocal classes in north delhi,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,singing lessons near hudson lane,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,hindustani classical vocal classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,singing classes near delhi university,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,vocal training for beginners near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music academy near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music school near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music classes in gtb nagar,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music academy in north delhi,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music institute near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music academy in gtb nagar,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music school near delhi university,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,offline music classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music classes in hudson lane,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Music_Classes_Generic,music academy for adults near me,Phrase,24.00
