Row Type,Action,Campaign,Campaign status,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,EU political ads,Ad group,Ad group status,Default max. CPC,Keyword,Type,Keyword status,Ad type,Ad status,Country code,Phone number,Business name,Headline 1,Headline 2,Description 1,Description 2,Verification URL,Final URL
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,vocal classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,vocal classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,singing classes in gtb nagar,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,singing classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,classical singing classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,24.00,guitar classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,24.00,guitar classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,24.00,guitar classes in gtb nagar,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,24.00,guitar classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,24.00,guitar teacher near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,piano classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,piano classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,keyboard classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,keyboard classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,piano classes in gtb nagar,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,24.00,piano classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,mumbai,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,bangalore,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,bengaluru,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,hyderabad,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,chennai,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,kolkata,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,pune,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,ahmedabad,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,jaipur,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,chandigarh,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,lucknow,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,surat,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,bhopal,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,patna,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,noida,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,gurgaon,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,gurugram,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,faridabad,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,ghaziabad,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,online,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,online course,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,online classes,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,zoom,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,youtube,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,tutorial,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,free,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,pdf,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,syllabus,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,notes,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,salary,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,job,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,vacancy,Phrase,Enabled,,,,,,,,,,,
Campaign negative keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,,,,hire,Phrase,Enabled,,,,,,,,,,,
Ad,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,,,,,Call-only ad,Enabled,IN,8796574448,Rhythm Raga Academy,Call Rhythm Raga Academy,Music Classes in GTB Nagar,"Call now for batch timings, fee details & free in-person demo slot in GTB Nagar!",1-on-1 certified mentors near Metro Gate 4. Classes for kids & adults. Call today!,https://www.rhytthmraga.com/,https://www.rhytthmraga.com/
Ad,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,,,,,Call-only ad,Enabled,IN,8796574448,Rhythm Raga Academy,Call Rhythm Raga Vocals,Singing Classes in GTB Nagar,"Call now for vocal coach consultation, fees & free in-studio trial near Hudson Lane!",Hindustani classical & Western singing classes near Metro Gate 4. Call today!,https://www.rhytthmraga.com/,https://www.rhytthmraga.com/
Ad,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,,,,,,Call-only ad,Enabled,IN,8796574448,Rhythm Raga Academy,Call Rhythm Raga Guitar,Guitar Classes in GTB Nagar,"Call now for guitar batch timings, trial slots & fee details near Hudson Lane!",Acoustic & electric guitar lessons near Metro Gate 4. Small batches. Call today!,https://www.rhytthmraga.com/,https://www.rhytthmraga.com/
Ad,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,,,,,,Call-only ad,Enabled,IN,8796574448,Rhythm Raga Academy,Call Rhythm Raga Piano,Piano Classes in GTB Nagar,"Call now for piano & keyboard batch timings, fee details & trial slot in GTB Nagar!",Western classical & keyboard lessons near Metro Gate 4. All ages. Call today!,https://www.rhytthmraga.com/,https://www.rhytthmraga.com/
